"","ID","List","Type","Pair.x","Word","Correct.x","Confidence.x","Tiredness","Enjoyment","Pair.y","Correct.y","Confidence.y","Select1","Select2","Select3"
"86",2464916,1,"MM",24,"fofry",1,7,4,6,24,0,2,FALSE,FALSE,FALSE
"87",2464916,1,"MM",25,"ruter",1,5,5,5,25,0,1,FALSE,FALSE,FALSE
"88",2464916,1,"MM",30,"fupon",1,5,4,5,30,0,2,FALSE,FALSE,FALSE
"89",2464916,1,"MM",36,"tuyete",1,7,4,7,36,0,3,FALSE,FALSE,FALSE
"90",2464916,1,"MM",37,"fucend",1,6,4,6,37,1,2,FALSE,FALSE,FALSE
"91",2464916,1,"MM",41,"haddan",1,6,5,5,41,1,4,FALSE,FALSE,FALSE
"92",2464916,1,"MM",43,"pendee",1,6,4,5,43,0,3,FALSE,FALSE,FALSE
"93",2464916,1,"MM",45,"tanay",1,7,5,6,45,0,2,FALSE,FALSE,FALSE
"94",2464916,1,"MM",46,"mumic",1,6,4,5,46,0,2,FALSE,FALSE,FALSE
"95",2464916,1,"MM",50,"saper",1,7,4,6,50,1,3,FALSE,FALSE,FALSE
"96",2464916,1,"MM",54,"meapon",1,5,4,5,54,0,3,FALSE,FALSE,FALSE
"97",2464916,1,"MM",56,"counger",1,6,4,7,56,1,2,FALSE,FALSE,FALSE
"98",2464916,1,"MM",59,"hapel",0,5,5,6,59,0,3,FALSE,FALSE,FALSE
"99",2464916,1,"MM",63,"bemble",1,4,5,5,63,0,2,FALSE,FALSE,FALSE
"100",2464916,1,"MM",65,"miggir",1,5,4,5,65,0,2,FALSE,FALSE,FALSE
"101",2464916,1,"MP",1,"winpen",1,6,4,6,1,0,2,FALSE,FALSE,FALSE
"102",2464916,1,"MP",4,"domine",1,6,5,7,4,0,4,FALSE,FALSE,FALSE
"103",2464916,1,"MP",7,"mizar",1,6,5,6,7,1,2,FALSE,FALSE,FALSE
"104",2464916,1,"MP",14,"oser",1,5,5,6,14,0,3,FALSE,FALSE,FALSE
"105",2464916,1,"MP",19,"furets",1,5,4,5,19,0,2,FALSE,FALSE,FALSE
"106",2464916,1,"MP",23,"peney",0,2,5,4,23,0,3,FALSE,FALSE,FALSE
"107",2464916,1,"MP",27,"teson",1,8,4,7,27,0,3,FALSE,FALSE,FALSE
"108",2464916,1,"MP",32,"goler",1,6,4,6,32,0,3,FALSE,FALSE,FALSE
