"","ID","PublicID","gender","Age","category"
"337",3240325,"ogrqdwg2","Female",16.0833333333333,"16-18"
"338",3241180,"7vm4jniz","Female",16.4166666666667,"16-18"
"339",3242339,"z4hslc3k","Male",16.8333333333333,"16-18"
"340",3243051,"acv60rh1","Female",15.4166666666667,"14-16"
"341",3244224,"ibokdid2","Female",13.8333333333333,"12-14"
"342",3244244,"3592gbtn","Female",15.25,"14-16"
"343",3244259,"9lnxnl6o","Female",15.4166666666667,"14-16"
"344",3244295,"amy7qv9q","Female",14.75,"14-16"
"345",3244880,"obbcj5pq","Female",15.8333333333333,"14-16"
"346",3245222,"bo55x9tc","Male",14.5,"14-16"
"347",3245370,"z7mrrdj8","Female",17,"16-18"
"348",3245399,"s7ds4b9r","Male",15.5833333333333,"14-16"
"349",3245441,"ss5ermk9","Female",16.4166666666667,"16-18"
"350",3245558,"psio7bwf","Female",14.9166666666667,"14-16"
"351",3245210,"pqvg1ezc","Female",13.9166666666667,"12-14"
"352",3246171,"7sd8trns","Female",17.9166666666667,"16-18"
"353",3246700,"wopajzjc","Female",16.75,"16-18"
"354",3246795,"dekv946z","Female",17.5,"16-18"
"355",3246792,"6a2aja8z","Female",13.9166666666667,"12-14"
"356",3247994,"k8dsbmgb","Female",12.9166666666667,"12-14"
"357",3251649,"6fvaokah","Female",15.3333333333333,"14-16"
"358",3252449,"txt4fpf7","Female",16.25,"16-18"
"359",3254606,"u52i0g3b","Female",13.1666666666667,"12-14"
"360",3254361,"2zcmubt7","Female",16.1666666666667,"16-18"
"361",3256302,"557x0th1","Female",17,"16-18"
"362",3257049,"ai7dezil","Female",16.1666666666667,"16-18"
"363",3257159,"54oyxwef","Female",14.5,"14-16"
"364",3258021,"2swoirbu","Male",15.75,"14-16"
"365",3258632,"k0pt12no","Male",10.6666666666667,"10-12"
"366",3259948,"bv2dugbp","Female",11,"10-12"
"367",3259983,"dt36cgyo","Female",14.0833333333333,"14-16"
"368",3260980,"7za7fh6f","Male",14.8333333333333,"14-16"
"369",3266806,"4f4a73px","Female",11,"10-12"
"370",3271762,"57d40ph3","Female",14.4166666666667,"14-16"
"371",3273656,"7abnt9pv","Female",14.75,"14-16"
"372",3276786,"9a2q5jje","Female",15.5,"14-16"
"373",3279974,"9pgg968o","Male",11.0833333333333,"10-12"
"374",3292876,"arep1j07","Female",14.75,"14-16"
"375",3294800,"rsbxxnft","Female",14.5833333333333,"14-16"
"376",3308253,"c3n4z6ap","Female",13.9166666666667,"12-14"
"377",3308790,"51ll22oy","Male",16,"16-18"
"378",3309508,"ipqf13l5","Male",15.9166666666667,"14-16"
"379",3310731,"4bthcayz","Male",14.5,"14-16"
"380",3320110,"9bhcmy0c","Female",13.3333333333333,"12-14"
"381",3320399,"wcbkab7o","Female",12.5833333333333,"12-14"
"382",3320427,"ubhw8kvk","Female",13.0833333333333,"12-14"
"383",3320640,"4jp4t7i8","Female",14.1666666666667,"14-16"
"384",3320699,"jgow00wx","Male",15.4166666666667,"14-16"
"385",3320830,"og2cpkpu","Male",15.1666666666667,"14-16"
"386",3320832,"3wkc9ktl","Male",15.1666666666667,"14-16"
"387",3321654,"i4zd7ni9","Male",14.5,"14-16"
